id_resena,autor,estrellas,fecha,texto,respuesta_dueno
Ci9DQUlRQUNvZENodHljRjlvT21WRlF6aE5iMkZETm5Vd2J6aHVZMmxPVERneWFVRRAB,Sergio Alejandro Muanna,1,Hace 11 meses,"Fui hace unas semanas a pedir un presupuesto. En principio pedí asesoramiento, porque había algunas cuestiones que no las tenía clara, la señora, de unos 50/55 años me atendió bastante mal. Se ponía a responder mensajes del celular (personales) y algunos laborales, me dejó clavado varios minutos en el mostrador.
Necesitaba consultarle algunos temas y no sólo que lo hizo de mala gana, sino que me mando a la parte de atrás a ver los modelos y que saque conclusiones.
Después quería que le de medidas exactas para poder cotizarme, tuve que ir a las mesas de atrás a ponerme a dibujar y calcular, tenía medidas aproximadas que con un poco de sentido común aproximas una cotización.
Después de todo el tiempo que te hacen perder te dicen que la entrega según el tipo de melamina tiene de 2 a 3 semanas.
Conclusion: no es un lugar para atención al público general, es para quienes se dedican a hacer muebles y vienen con los cortes, los elementos y todo cocinado.
Creo que deberían mejorar la atención, el asesoramiento y contratar una o dos personas más que atiendan a los clientes cómo se debe.",
ChZDSUhNMG9nS0VJQ0FnSURUMUpLVFZREAE,Estela Lorenzo,1,Hace 2 años,Muy mala atención de los empleados de atención al público. Poco asesoramiento,
Ci9DQUlRQUNvZENodHljRjlvT21kTWIxZGFlREl4ZW5BNVVrNXhXaTFsVmxKeVpGRRAB,cristian solorzano,1,Hace 3 meses,"La atención es mala, lenta y no están del todo capacitados para solución y ayudar al cliente. Encima tienen los precios carisimos en comparación de la competencia",
Ci9DQUlRQUNvZENodHljRjlvT2xSeVVWOXRZMGs0VEhBNExVRlFUMUJDVDBaYVlVRRAB,Leo Olivera,1,Hace 3 semanas,"Un desastre, tardan un montón para todo, de lo más ineficaz que he visto.",
ChdDSUhNMG9nS0VJQ0FnSUQ2eHFhQWx3RRAB,Carolina Varela,1,Hace 4 años,"La atención es malísima si se trata de un cliente que no es del gremio. Fui varias veces y nunca logré comprar lo que necesitaba, ya que no pierden tiempo en asesorar, aún si uno va interiorizado con lo que va a pedir. No vuelvo mas a preguntar nada.",
ChdDSUhNMG9nS0VJQ0FnSUQ2LXNXMHpRRRAB,Maru Bascal,1,Hace 4 años,QUE PASA QUE NUNCA ATIENDEN EL TELEFONO Y TAMPOCO RESPONDEN CONSULTAS POR WHASTAPP??,
ChZDSUhNMG9nS0VJQ0FnSURLMTZhRkhREAE,Pablo Lavie,1,Hace 5 años,atienden con desgano y mala predisposición,
ChZDSUhNMG9nS0VJQ0FnSUNLanRfMmJnEAE,Tetu Mansilla,1,Hace 5 años,"Mala atención en el 100% de los establecimientos, tiempos de espera prolongados y largas colas, el servicio de corte te lo hacen a 60 días","Hola Tetu Mansilla, lamentamos las demoras, estamos desbordados de trabajo pero la atención siempre es cordial.
Estamos entregando a 30 dias los cortes de precisión. Siempre está la opción de la otra cortadora.
Saludos"
ChdDSUhNMG9nS0VJQ0FnSUN5X1pxczZRRRAB,La Cocina de Miguel,1,Hace 5 años,,
ChZDSUhNMG9nS0VJQ0FnSURTMTlPb09REAE,Mariangeles Queulo,1,Hace 5 años,"Tiene un gran variedad, y en algunos casos buenos precios, pero la atención al publico es espantosa. Lamentablemente le he tenido que comprar muchas veces, por la variedad que supuestamente tienen, pero siempre con mil problemas. Me han tratado mal, me han vendido cosas que no tienen en stock, han demorado mas de un mes en entregármelo, (unos pisos flotantes tardaron 2 meses) te dan un teléfono que nunca atienden. El 22/12 realice una compra que después de una hora de espera para confirmar que tenían stock en el deposito al momento de retirar, me dicen que no tenían. Ayer después de mucho intentar vía telefónica me confirma que ya contaban con stock. Hoy armo toda la logística para ir a retirar, y al llegar me dicen que no, que vuelva en 10 días. Uno puede entender que son tiempos complejos, pero no puede ser que cada compra sea siempre una odisea. No pueden disponer de manera tan grosera de los tiempos de los clientes. Y doy fe, que he realizado reclamos personales, y a lado mío habían otros clientes reclamando por lo mismo. Esta es mi ultima compra. La mala atención se le esta volviendo un patrón",
ChdDSUhNMG9nS0VJQ0FnSURTNDRLeG5nRRAB,Guido Russo,1,Hace 5 años,,
ChdDSUhNMG9nS0VJQ0FnSUNpNzd6NWt3RRAB,Guillermo Hagele,1,Hace 5 años,"No me gustó la atención. Más allá de la pandemia la persona que me atendió no hizo ningún esfuerzo para saber que era lo que yo necesitaba. Además, llegó un conocido, se hizo que ya volvía y lo atendió a él, teniendo nosotros que esperar mucho tiempo a que volviera. Un desastre.",
ChZDSUhNMG9nS0VJQ0FnSUNpamY3ZUlnEAE,Mar,1,Hace 5 años,"La atención bastante escasa, cero acesoramiento y mala predisposición por parte de las personas que están a la venta.. fui 5 Veces!!! Y  antes de comprar pregunté si podia retirar en el momento, me dijeron que si. Cuando llego el momento de retiro la persona encargada miró el papel y dijo Aah no esto está atrás de todo . Y no da el tiempo, eran las 14:50 y cierran 16hs. No les daba el tiempo para darme la mercadería que pagué, 1 hora antes de cerrar.
La verdad, es que la calidad del producto es buena pero cerraría todo con una buena y prolija atención.",
ChdDSUhNMG9nS0VJQ0FnSUNpNG9DNGlBRRAB,Julian Ricardi,1,Hace 5 años,La atención un desastre. Atienden sin ganas como si fueran los únicos en la plata.,
ChdDSUhNMG9nS0VJQ0FnSURDNzZEaS1BRRAB,Leo Mendoza,1,Hace 5 años,,
ChdDSUhNMG9nS0VJQ0FnSUQ4cU1Eb293RRAB,Edu P,1,Hace 6 años,,
ChZDSUhNMG9nS0VJQ0FnSUM4Z1llY0FnEAE,Franco Chinigo,1,Hace 6 años,,"Franco, cual fue el problema?"
ChdDSUhNMG9nS0VJQ0FnSURraWJHdWp3RRAB,OSCAR GELP,1,Hace 7 años,"La atención de venta es pésima. Te atienden como si no quisieran vender. Distraida, no te responde o se olvida lo que pedis, poco asesoramiento. Muy mala. La entrega del producto es lenta. El estacionamiento todo ocupado, no se por quien porque habia tres clientes. Deben ocuparlo con los empleados. Si faltaba algo, es un perro dentro del local oliendo las partes de todos los clientes.",
ChZDSUhNMG9nS0VJQ0FnSURvb3QtSFFnEAE,Catalina Poggio,1,Hace 7 años,,
ChdDSUhNMG9nS0VJQ0FnSUNvamE3UWp3RRAB,Isaias Paiva,1,Hace 7 años,Malísima la atención te hacen sacar número y después llaman por llegada y si tienen un conocido lo atienden primero,
ChZDSUhNMG9nS0VJQ0FnSUNvdU1HaFl3EAE,Cristian Silva,1,Hace 7 años,,
ChZDSUhNMG9nS0VJQ0FnSURJbHZUVWV3EAE,Camilo Espinoza,1,Hace 7 años,"La atención dentro del local fue desastrosa, salvo el hombre de seguridad que fue muy amable al cuidar de la bicicleta. Precios muy elevados en mdf y cortes. No hacen envíos dentro del casco de la ciudad, te recomiendan un flete externo que sale más caro. No volvería y no lo recomiendo en absoluto.",
ChdDSUhNMG9nS0VJQ0FnSURJa3BESDZ3RRAB,Hugo Ortega,1,Hace 7 años,,
ChZDSUhNMG9nS0VJQ0FnSURBODlhNlpBEAE,santiago romero,1,Hace 8 años,,"Santiago Romero, que mala experiencia tuviste en nuestra empresa? nos interesa tu opinión para tratar de mejorar."
ChdDSUhNMG9nS0VJQ0FnSURRMU1tSS13RRAB,Alejandro Morosini,1,Hace 8 años,"Buena mercaderia,atienden bien, pero es un desastre el tiempo que hay que esperar para que te entreguen lo que compraste.",
ChdDSUhNMG9nS0VJQ0FnSUNRM29EcC1BRRAB,Nestor Fabian Estecho,1,Hace 8 años,,
ChZDSUhNMG9nS0VJQ0FnSURRbElXUWFnEAE,Cristian Gigli,1,Hace 8 años,Tipica desatención. Precios caros. Soberbia. Si no sos carpintero no vengas.,
ChdDSUhNMG9nS0VJQ0FnSUNBN2ZqV2hRRRAB,Matias Migo,1,Hace 8 años,"Extremandamente lentoooooooooo. Estuve media hora y solamente habian atendido a un numero. Había personal libre, pero estaban charlando entre ellos. Solamente 2 personas estaban atendiendo al publico y encima no atienden el mismo rubro. Me tuve que ir sin comprar. Deberían implementar compra on line y pasar a retirar.",
ChZDSUhNMG9nS0VJQ0FnSUNRODdLREZREAE,joaquin urrutia,1,Hace 8 años,,
ChdDSUhNMG9nS0VJQ0FnSURnMDkzamxRRRAB,Diego Moyano,1,Hace 8 años,Malo. Muy lento el mostrador,"Disculpa Diego Moyano, tenemos personal reducido por vacaciones. Buen año para vos."
ChZDSUhNMG9nS0VJQ0FnSURBdUttQkxBEAE,Daniel Alvarez,1,Hace 8 años,,
Ci9DQUlRQUNvZENodHljRjlvT2xKVlpqZE9aek5OTlVaRGJIRjBWV056VkRoYVRGRRAB,Bernardo Sabatini,1,Hace un año,,
Ci9DQUlRQUNvZENodHljRjlvT214TGJuQk5NbTFmU0dScWJEaERTRnB2V0Y4MGRIYxAB,Alfredo,1,Hace un año,"Mala atencion, de 2 vendedores solo atiende uno y el otro toma cafe charlando con el que trabaja. Rarisimo el sistema de trabajo que tienen.",
ChZDSUhNMG9nS0VJQ0FnSUNzbjZpWmJ3EAE,Sarita Catering,2,Hace 6 años,"Muy lindo e imponente lugar, grandes galpones, y tienen una semana de demora para cortarte una placa de melamina blanca... mmm","Hola Gabriel, gracias por apreciar la infraestructura del negocio. Con respecto a la demora, lamento que no sea acorde a tu necesidad, pero quisiéramos entregar todos los pedidos en el día, sucede que se van acumulando y se genera una espera no deseada.
un saludo!"
